L 540.3312, -60.4888, -115.4262,  541.6570, -60.2412, -114.9108,  0, 127, 127
L 539.2181, -62.0730, -116.6444,  540.3312, -60.4888, -115.4262,  0, 127, 127
L 540.8341, -63.0947, -116.8277,  539.2181, -62.0730, -116.6444,  0, 127, 127
L 541.3323, -76.6815, -120.9848,  540.8341, -63.0947, -116.8277,  0, 127, 127
L 541.4885, -78.5029, -121.4569,  541.3323, -76.6815, -120.9848,  0, 127, 127
L 541.9487, -86.7082, -123.6895,  541.4885, -78.5029, -121.4569,  0, 127, 127
L 541.6384, -88.6576, -125.0559,  541.9487, -86.7082, -123.6895,  0, 127, 127
L 541.1487, -95.4802, -125.2788,  541.6384, -88.6576, -125.0559,  0, 127, 127
L 541.4484, -97.4094, -125.2250,  541.1487, -95.4802, -125.2788,  0, 127, 127
L 542.3484, -99.1741, -125.1172,  541.4484, -97.4094, -125.2250,  0, 127, 127
L 543.8953, -100.2475, -124.9058,  542.3484, -99.1741, -125.1172,  0, 127, 127
L 546.6622, -100.7742, -124.6060,  543.8953, -100.2475, -124.9058,  0, 127, 127
L 548.6389, -101.0586, -124.5114,  546.6622, -100.7742, -124.6060,  0, 127, 127
L 550.3224, -101.9430, -125.0078,  548.6389, -101.0586, -124.5114,  0, 127, 127
L 551.4392, -103.4245, -125.8065,  550.3224, -101.9430, -125.0078,  0, 127, 127
L 552.6758, -104.8948, -126.2321,  551.4392, -103.4245, -125.8065,  0, 127, 127
L 554.0285, -106.3459, -126.7392,  552.6758, -104.8948, -126.2321,  0, 127, 127
L 555.4577, -107.7108, -127.7238,  554.0285, -106.3459, -126.7392,  0, 127, 127
L 556.9414, -108.8955, -127.9720,  555.4577, -107.7108, -127.7238,  0, 127, 127
L 558.5209, -109.8768, -126.7158,  556.9414, -108.8955, -127.9720,  0, 127, 127
L 560.4671, -109.5659, -124.5715,  558.5209, -109.8768, -126.7158,  0, 127, 127
L 561.0439, -107.6690, -124.2252,  560.4671, -109.5659, -124.5715,  0, 127, 127
L 562.0382, -105.9982, -124.0359,  561.0439, -107.6690, -124.2252,  0, 127, 127
L 564.9512, -105.3826, -123.9370,  562.0382, -105.9982, -124.0359,  0, 127, 127
L 566.8157, -105.0635, -124.5836,  564.9512, -105.3826, -123.9370,  0, 127, 127
L 568.7029, -104.6263, -125.5397,  566.8157, -105.0635, -124.5836,  0, 127, 127
L 570.4905, -103.7878, -126.1240,  568.7029, -104.6263, -125.5397,  0, 127, 127
L 572.2299, -102.8306, -126.3734,  570.4905, -103.7878, -126.1240,  0, 127, 127
L 573.4838, -101.3647, -125.1766,  572.2299, -102.8306, -126.3734,  0, 127, 127
L 574.2720, -99.6458, -124.0082,  573.4838, -101.3647, -125.1766,  0, 127, 127
L 575.1469, -97.9781, -123.1900,  574.2720, -99.6458, -124.0082,  0, 127, 127
L 582.6077, -91.5889, -123.0772,  575.1469, -97.9781, -123.1900,  0, 127, 127
L 584.1227, -90.3636, -123.2899,  582.6077, -91.5889, -123.0772,  0, 127, 127
L 585.5509, -88.9929, -122.8254,  584.1227, -90.3636, -123.2899,  0, 127, 127
L 586.8010, -87.4406, -121.7959,  585.5509, -88.9929, -122.8254,  0, 127, 127
L 587.9111, -85.8611, -120.8721,  586.8010, -87.4406, -121.7959,  0, 127, 127
L 589.1499, -84.4464, -120.2418,  587.9111, -85.8611, -120.8721,  0, 127, 127
L 590.5201, -83.0373, -119.7630,  589.1499, -84.4464, -120.2418,  0, 127, 127
L 591.9587, -81.9301, -119.7810,  590.5201, -83.0373, -119.7630,  0, 127, 127
L 593.6921, -81.0319, -119.9942,  591.9587, -81.9301, -119.7810,  0, 127, 127
L 603.4370, -78.9551, -122.2558,  593.6921, -81.0319, -119.9942,  0, 127, 127
L 605.3586, -78.5713, -122.5732,  603.4370, -78.9551, -122.2558,  0, 127, 127
L 607.1997, -78.0553, -122.6571,  605.3586, -78.5713, -122.5732,  0, 127, 127
L 609.0294, -77.3536, -122.4901,  607.1997, -78.0553, -122.6571,  0, 127, 127
L 610.8201, -76.5655, -122.2858,  609.0294, -77.3536, -122.4901,  0, 127, 127
L 612.5504, -75.6323, -122.0546,  610.8201, -76.5655, -122.2858,  0, 127, 127
L 614.1063, -74.3953, -121.9071,  612.5504, -75.6323, -122.0546,  0, 127, 127
L 615.1023, -72.8787, -121.6696,  614.1063, -74.3953, -121.9071,  0, 127, 127
L 615.5870, -70.8904, -121.5699,  615.1023, -72.8787, -121.6696,  0, 127, 127
L 615.9149, -69.0417, -121.5038,  615.5870, -70.8904, -121.5699,  0, 127, 127
L 616.6515, -67.5754, -121.6637,  615.9149, -69.0417, -121.5038,  0, 127, 127
L 617.6884, -66.0390, -121.9008,  616.6515, -67.5754, -121.6637,  0, 127, 127
L 618.6031, -64.4155, -121.9601,  617.6884, -66.0390, -121.9008,  0, 127, 127
L 619.3917, -62.6142, -121.7072,  618.6031, -64.4155, -121.9601,  0, 127, 127
L 619.9615, -60.7618, -121.4402,  619.3917, -62.6142, -121.7072,  0, 127, 127
L 620.4489, -57.9988, -120.9809,  619.9615, -60.7618, -121.4402,  0, 127, 127
L 620.3987, -56.0630, -120.8738,  620.4489, -57.9988, -120.9809,  0, 127, 127
L 619.1574, -54.6450, -120.3018,  620.3987, -56.0630, -120.8738,  0, 127, 127
L 617.2131, -54.5490, -119.8577,  619.1574, -54.6450, -120.3018,  0, 127, 127
L 615.2978, -54.2407, -119.4878,  617.2131, -54.5490, -119.8577,  0, 127, 127
L 613.6551, -52.8508, -118.5427,  615.2978, -54.2407, -119.4878,  0, 127, 127
L 610.5657, -50.1147, -117.2183,  613.6551, -52.8508, -118.5427,  0, 127, 127
L 609.0581, -48.8574, -116.8210,  610.5657, -50.1147, -117.2183,  0, 127, 127
L 607.5808, -47.7301, -116.4346,  609.0581, -48.8574, -116.8210,  0, 127, 127
L 605.9050, -46.6827, -116.0135,  607.5808, -47.7301, -116.4346,  0, 127, 127
L 603.2203, -46.0007, -115.2321,  605.9050, -46.6827, -116.0135,  0, 127, 127
L 601.2712, -46.4346, -114.4358,  603.2203, -46.0007, -115.2321,  0, 127, 127
L 599.5499, -47.3797, -113.6082,  601.2712, -46.4346, -114.4358,  0, 127, 127
L 598.0358, -48.5667, -112.9696,  599.5499, -47.3797, -113.6082,  0, 127, 127
L 592.5286, -54.1087, -111.1974,  598.0358, -48.5667, -112.9696,  0, 127, 127
L 591.6144, -55.0677, -111.1275,  592.5286, -54.1087, -111.1974,  0, 127, 127
L 581.0974, -56.3106, -112.2092,  591.6144, -55.0677, -111.1275,  0, 127, 127
L 579.1515, -56.5295, -112.2946,  581.0974, -56.3106, -112.2092,  0, 127, 127
L 577.4531, -57.5145, -111.8695,  579.1515, -56.5295, -112.2946,  0, 127, 127
