P 1054.5479, -1070.6062, -195.7408,  0, 255, 0,  3,  Frenzy
P -359.6200, -946.1963, -224.9677,  255, 255, 255,  3,  Safe
P 713.1727, -539.6156, -195.9052,  0, 255, 0,  3,  Scribe
P 890.9132, -624.3704, -205.9052,  0, 255, 0,  3,  Exe
P 693.8405, -596.8954, -139.9365,  0, 255, 255,  3,  Down
P 736.0692, -637.8203, -139.9365,  0, 255, 255,  3,  Up
P 665.8885, -615.2302, -195.9052,  0, 255, 255,  3,  Up
P 646.8743, -759.7515, -139.9365,  0, 255, 255,  3,  Bridge
P 217.0000, -1197.0000, 0.0010,  255, 255, 255,  3,  Succor
P 734.4968, -629.2488, -167.5447,  0, 255, 255,  3,  Up
P 614.3391, -580.7217, -167.8087,  0, 255, 255,  3,  Down
P 707.7199, -667.2968, -169.6615,  0, 255, 255,  3,  Pit
P 732.2206, -1069.3318, -251.9052,  0, 255, 255,  3,  Trap
P 749.8361, -1114.0876, -251.9052,  0, 255, 255,  3,  Trap
P 764.0148, -1070.6929, -251.9052,  0, 255, 255,  3,  Trap
P 684.6920, -836.1712, -195.9052,  0, 255, 255,  3,  Safe_Hall
P 903.5712, -903.7688, -223.9052,  0, 255, 255,  3,  Trap
P 747.5112, -1556.6975, -171.9019,  0, 255, 0,  3,  Ghoul_Lord
P 650.8992, -1140.4944, -195.7068,  0, 255, 0,  3,  Hand
P 833.6954, -1181.5658, -195.8833,  0, 255, 0,  3,  Archmage
