P 123.4049, -199.2584, -127.9365,  0, 0, 0,  1,  Door
P 48.0335, -196.8538, 0.0010,  240, 0, 0,  2,  Door_And_Pit
P 115.9147, -232.1067, 0.0010,  0, 0, 0,  1,  Door
P 14.6669, -293.4868, 0.0010,  240, 0, 0,  2,  Pit
P 48.4321, -343.2070, 0.0010,  0, 0, 0,  1,  Door
P 71.2544, -319.9983, 0.0010,  0, 0, 0,  2,  Door
P 32.6995, -297.4128, 0.0010,  240, 0, 0,  2,  Pit
P -640.9458, 80.4968, -159.6727,  240, 0, 0,  2,  Hole_To_Floor_Below
P -365.4914, -136.5455, -144.9365,  240, 0, 0,  2,  Pit
P -145.0027, -201.2722, 63.9697,  240, 0, 0,  2,  Pit
P -112.6692, -87.7924, 32.0010,  240, 0, 0,  2,  Pit
P -40.0000, -370.0000, 0.0000,  255, 255, 255,  2,  Succor_Point
