P -315, 390, 0, 153, 153, 153, 2, S
P -260, 295, 0, 153, 153, 153, 2, R
P -300, 160, 0, 153, 153, 153, 2, Q
P -315, -140, 0, 153, 153, 153, 2, P
P -170, -110, 0, 153, 153, 153, 2, D
P -162, 375, 0, 153, 153, 153, 2, T
P -20, 420, 0, 153, 153, 153, 2, U
P 70, 370, 0, 153, 153, 153, 2, V
P 160, 280, 0, 153, 153, 153, 2, C
P 50, 222, 0, 153, 153, 153, 2, B
P -17, 112, 0, 153, 153, 153, 2, A
P 11, -1, 0, 153, 153, 153, 2, 9
P -2, -425, 0, 153, 153, 153, 2, O
P 90, -290, 0, 153, 153, 153, 2, N
P 133, -405, 0, 153, 153, 153, 2, M
P 212, -405, 0, 153, 153, 153, 2, L
P 354, -418, 0, 153, 153, 153, 2, K
P 192, -285, 0, 153, 153, 153, 2, J
P 350, -280, 0, 153, 153, 153, 2, I
P 277, -198, 0, 153, 153, 153, 2, H
P 352, -165, 0, 153, 153, 153, 2, G
P 250, -100, 0, 153, 153, 153, 2, E
P 340, -75, 0, 153, 153, 153, 2, F
P 198, 20, 0, 153, 153, 153, 2, 7
P 320, 50, 0, 153, 153, 153, 2, 6
P 345, 142, 0, 153, 153, 153, 2, 5
P 270, 202, 0, 153, 153, 153, 2, 4
P 333, 280, 0, 153, 153, 153, 2, 3
P 265, 365, 0, 153, 153, 153, 2, 2
P 350, 380, 0, 153, 153, 153, 2, 1
P 120, -45, 0, 153, 153, 153, 2, 8
P 0, 0, 0, 255, 255, 255, 2, Succor_Point
