P 259.0000, 1201.0000, 0.0000,  255, 255, 255,  2,  Succor_Point
P -991.0000, -901.0000, 0.0000,  255, 255, 255,  2,  Rodcet
P -581.0000, -1047.0000, 0.0000,  255, 255, 255,  2,  Halflings
P -1187.0000, -608.0000, 0.0000,  255, 255, 255,  2,  Halflings
P -1211.0000, 915.0000, 0.0000,  255, 255, 255,  2,  Halflings
P -646.0000, 1560.0000, 0.0000,  255, 255, 255,  2,  Shadowmen
P -763.0000, 464.0000, 0.0000,  255, 255, 255,  2,  Orcs
P -1199.0000, 1766.0000, 0.0000,  255, 255, 255,  2,  Orcs
P 474.0000, 151.0000, 0.0000,  255, 255, 255,  2,  Orcs
P 942.0000, -605.0000, 0.0000,  255, 255, 255,  2,  Arcane
P 733.0000, -523.0000, 0.0000,  255, 255, 255,  2,  Undead
P -1115.0000, -2045.0000, 0.0000,  255, 255, 255,  2,  Undead
P 845.0000, 2115.0000, 0.0000,  255, 255, 255,  2,  Undead
P 181.0000, -1195.0000, 0.0000,  255, 255, 255,  2,  Newbee_Log
P 767.0000, -437.0000, 0.0000,  255, 255, 255,  2,  Wizard_Sphire
