Län,Kommun-kod 2010,Kommun 2010,Tätort,Tätorts- kod,Kommentar,1960,1965,1970,1975,1980,1990,1995,2000,2005,2010,
01,0127,Botkyrka,Alby,TX006,"Ny tätort 1970, sammanvuxen med Stockholm 1975",,,378,,,,,,,,
01,0117,Österåker,Bammarboda,T0102,Ny tätort 2005,,,,,,,,,204,249,
01,0188,Norrtälje,Bergshamra,T0100,,203,,385,413,406,560,588,633,751,749,
01,0120,Värmdö,Björnömalmen och Klacknäset,T0106,Ny tätort 2005,,,,,,,,,568,624,
01,0138,Tyresö,Bollmora/Tyresö,TX008,"Tyresö sammanvuxen med Lindalen 1965, nytt namn Bollmora, Sammanvuxen med Stockholm 1975",271,"9,414","18,548",,,,,,,,
01,0114,Upplands Väsby,Bollstanäs,TX010,Sammanvuxen med Upplands-Väsby 1975,575,557,463,,,,,,,,
01,0182,Nacka,Boo/Björknäs,T0104,,5510,6462,11934,13786,14988,17781,18874,20404,21776,24052,
01,0186,Lidingö,Brevik,T0108,,5058,6092,5780,5850,6052,6136,6660,7074,8024,8772,
01,0138,Tyresö,Brevikshalvön,T0110,Ny tätort 1995,,,,,,,1210,1556,1817,2018,
01,0139,Upplands-Bro,Bro ,T0112,,601,1542,4425,5046,6666,6552,5703,6155,6359,7050,
01,0115,Vallentuna,Brottby,T0116,"Ny tätort 1975, ej tätort 2005, tätort 2010",,,,213,221,215,218,209,,205,
01,0120,Värmdö,Brunn,T0120,Ny tätort 1970,,,534,570,564,663,775,855,957,950,
01,0139,Upplands-Bro,Brunna,T0124,Ny tätort 1975,,,,1573,3032,4206,4200,4086,3861,3925,
01,0136,Haninge,Dalarö,T0132,,523,534,537,542,620,654,822,1015,1190,1199,
01,0120,Värmdö,Djurö,T0136,Ny tätort 1970,,,352,780,728,972,922,996,958,967,
01,0125,Ekerö,Drottningholm,T0140,,468,454,420,460,284,404,429,429,410,398,
01,0188,Norrtälje,Edsbro,T0144,,271,285,328,395,388,532,518,529,515,488,
01,0181,Södertälje,Ekeby,T0148,Ny tätort 1970,,,678,689,948,1068,998,956,988,1018,
01,0114,Upplands Väsby,Ekeby,T0152,Ny tätort 2005,,,,,,,,,221,258,
01,0125,Ekerö,Ekerö sommarstad,T0151,Ny tätort 1990,,,,,,274,314,457,544,544,
01,0125,Ekerö,Ekerö/Träkvista,T0150,Sammanvuxen med Tappström 1975,582,1068,2425,6746,7298,8503,9419,9931,10322,10907,
01,0140,Nykvarn,Finkarby,T0158,Ny tätort 2000,,,,,,,,200,218,214,
01,0188,Norrtälje,Finsta ,T0164,Ny tätort 2010,,,,,,,,,,244,
01,0182,Nacka,Fisksätra,T0156,Ny tätort 1975,,,,6342,7002,6936,6912,7185,6864,7475,
01,0127,Botkyrka,Fittja,TX002,Sammanvuxen med Stockholm 1975,791,"2,403","2,195",,,,,,,,
01,0126,Huddinge,Flemingsberg,TX012,"Ny tätort 1965, sammanvuxen med Stockholm 1970",,260,,,,,,,,,
01,0114,Upplands Väsby,Frestaby,T0160,"Ny tätort 1975, sammanvuxen med Upplands-Väsby 1990",,,,"1,387","1,677",,,,,,
01,0120,Värmdö,Fruvik,T0162,"Ny tätort 1980, sammanvuxen med Hemmesta 1990",,,,,370,,,,,,
01,0120,Värmdö,Fågelvikshöjden  ,T0166,Ny tätort 2000,,,,,,,,670,1015,1043,
01,0138,Tyresö,Gimmersta,T0170,Ny tätort 2005,,,,,,,,,305,354,
01,0126,Huddinge,Gladö kvarn,T0178,Ny tätort 2005,,,,,,,,,438,539,
01,0188,Norrtälje,Grisslehamn,T0168,,374,367,301,312,323,278,293,288,275,249,
01,0192,Nynäshamn,Grödby/Trollsta,T0364,"Ny tätort 1975, nytt namn 1980 Grödeby",,,,274,363,361,350,362,368,340,
01,0120,Värmdö,Gustavsberg,T0172,,4044,5049,6306,6209,6479,6659,8791,9429,9682,11333,
01,0120,Värmdö,Hagaberg,T0174,"Ny tätort 2000, sammanslagen med Hemmesta 2005",,,,,,,,269,,,
01,0117,Österåker,Hagbyhöjden,T0194,Ny tätort 2005,,,,,,,,,335,479,
01,0188,Norrtälje,Hallstavik,T0176,,3831,4357,5069,5162,5066,4719,4802,4634,4530,4476,
01,0136,Haninge,Handen,TX014,Sammanvuxen med Stockholm 1975,"12,080","23,425","30,395",,,,,,,,
01,0120,Värmdö,Hedvigsberg ,T0186,Ny tätort 2010,,,,,,,,,,282,
01,0120,Värmdö,Hemmesta,T0180,"Ny tätort 1965, sammanvuxen med Fruvik 1990, sammanvuxen med Hagaberg 2005",,548,956,1615,1588,2976,3097,3224,4577,5240,
01,0188,Norrtälje,Herräng,T0184,,721,580,467,441,432,457,451,474,443,422,
01,0139,Upplands-Bro,Håbo-Tibble kyrkby,T0190,Ny tätort 1990,,,,,,241,279,274,271,256,
01,0182,Nacka,Hästhagen,T0192,,453,445,441,396,400,395,364,440,472,499,
01,0181,Södertälje,Hölö ,T0196,,401,526,664,738,763,864,989,978,1222,1400,
01,0120,Värmdö,Ingaröstrand,T0198,Ny tätort 1995,,,,,,,208,247,290,286,
01,0123,Järfälla,Jakobsberg,TX016,Sammanvuxen med Stockholm 1970,"8,479","19,120",,,,,,,,,
01,0115,Vallentuna,Johannesudd,T0202,Ny tätort 2010,,,,,,,,,,249,
01,0136,Haninge,Jordbro,T0200,Ny tätort 1965,,1533,6005,5767,9169,9796,9022,9414,9316,10291,
01,0181,Södertälje,Järna,T0204,,2427,3557,5715,6237,6198,5849,5669,5796,6284,6377,
01,0123,Järfälla,Kallhäll,TX018,Sammanvuxen med Stockholm 1975,"5,215","10,186","10,215",,,,,,,,
